#Temps  x  y  z  vx  vy  vz  ax  ay  az
1.151000  -0.001351  0.000633  -0.000064  -0.079950  0.028930  -0.010410  0.770000  0.060000  -0.090000
1.152000  -0.001350  0.000633  -0.000064  -0.079180  0.028990  -0.010500  0.770000  0.060000  -0.090000
1.152000  -0.001350  0.000633  -0.000064  -0.079180  0.028990  -0.010500  0.130000  0.320000  0.400000
1.188000  -0.001266  0.000840  0.000196  -0.074500  0.040510  0.003900  0.130000  0.320000  0.400000
1.189000  -0.001266  0.000840  0.000196  -0.074520  0.040760  0.004150  -0.020000  0.250000  0.250000
1.207000  -0.001269  0.000881  0.000236  -0.074880  0.045260  0.008650  -0.020000  0.250000  0.250000
1.209000  -0.001269  0.000881  0.000237  -0.074920  0.045760  0.009150  -0.020000  0.250000  0.250000
1.210000  -0.001269  0.000881  0.000237  -0.074940  0.046010  0.009400  -0.020000  0.250000  0.250000
1.227000  -0.001272  0.000917  0.000273  -0.075280  0.050260  0.013650  -0.020000  0.250000  0.250000
1.228000  -0.001272  0.000918  0.000273  -0.075360  0.050560  0.013350  -0.080000  0.300000  -0.300000
1.266000  -0.001612  0.001141  -0.000124  -0.093220  0.062340  -0.007550  -0.470000  0.310000  -0.550000
1.267000  -0.001612  0.001141  -0.000125  -0.093690  0.062650  -0.008100  -0.470000  0.310000  -0.550000
1.268000  -0.001612  0.001142  -0.000125  -0.094160  0.062960  -0.008650  -0.470000  0.310000  -0.550000
1.268000  -0.001612  0.001142  -0.000125  -0.094160  0.062960  -0.008650  -0.470000  0.310000  -0.550000
1.269000  -0.001612  0.001142  -0.000125  -0.094630  0.063270  -0.009200  -0.470000  0.310000  -0.550000
1.307000  -0.001952  0.001366  -0.000522  -0.112490  0.075050  -0.030100  -0.470000  0.310000  -0.550000
1.308000  -0.001952  0.001366  -0.000523  -0.112910  0.075650  -0.030640  -0.420000  0.600000  -0.540000
1.327000  -0.002028  0.001474  -0.000620  -0.120890  0.087050  -0.040900  -0.420000  0.600000  -0.540000
1.328000  -0.002028  0.001475  -0.000620  -0.121310  0.087650  -0.041440  -0.420000  0.600000  -0.540000
1.329000  -0.002028  0.001475  -0.000621  -0.121730  0.088250  -0.041980  -0.420000  0.600000  -0.540000
1.347000  -0.002096  0.001572  -0.000708  -0.129290  0.099050  -0.051700  -0.420000  0.600000  -0.540000
1.348000  -0.002096  0.001572  -0.000709  -0.128880  0.099690  -0.053990  0.410000  0.640000  -2.290000
1.386000  -0.001598  0.001977  -0.000919  -0.102660  0.120970  -0.065010  0.690000  0.560000  -0.290000
1.387000  -0.001598  0.001977  -0.000919  -0.101970  0.121530  -0.065300  0.690000  0.560000  -0.290000
1.388000  -0.001597  0.001977  -0.000919  -0.101280  0.122090  -0.065590  0.690000  0.560000  -0.290000
1.389000  -0.001597  0.001978  -0.000919  -0.100590  0.122650  -0.065880  0.690000  0.560000  -0.290000
1.389000  -0.001597  0.001978  -0.000919  -0.100590  0.122650  -0.065880  0.690000  0.560000  -0.290000
1.425000  -0.001150  0.002340  -0.001107  -0.075750  0.142810  -0.076320  0.690000  0.560000  -0.290000
1.427000  -0.001148  0.002342  -0.001108  -0.074410  0.144170  -0.076960  0.670000  0.680000  -0.320000
1.444000  -0.001052  0.002440  -0.001154  -0.063020  0.155730  -0.082400  0.670000  0.680000  -0.320000
1.446000  -0.001050  0.002441  -0.001154  -0.061680  0.157090  -0.083040  0.670000  0.680000  -0.320000
1.447000  -0.001050  0.002442  -0.001155  -0.061010  0.157770  -0.083360  0.670000  0.680000  -0.320000
1.465000  -0.000941  0.002552  -0.001206  -0.048950  0.170010  -0.089120  0.670000  0.680000  -0.320000
1.466000  -0.000941  0.002552  -0.001206  -0.048710  0.170330  -0.088810  0.240000  0.320000  0.310000
1.504000  -0.001634  0.003202  -0.001004  -0.085190  0.204530  -0.078170  -0.960000  0.900000  0.280000
1.507000  -0.001639  0.003206  -0.001003  -0.088070  0.207230  -0.077330  -0.960000  0.900000  0.280000
1.507000  -0.001639  0.003206  -0.001003  -0.088070  0.207230  -0.077330  -0.960000  0.900000  0.280000
1.509000  -0.001641  0.003208  -0.001002  -0.089990  0.209030  -0.076770  -0.960000  0.900000  0.280000
1.509000  -0.001641  0.003208  -0.001002  -0.089990  0.209030  -0.076770  -0.960000  0.900000  0.280000
1.544000  -0.002229  0.003759  -0.000831  -0.123590  0.240530  -0.066970  -0.960000  0.900000  0.280000
1.546000  -0.002230  0.003761  -0.000830  -0.124790  0.242970  -0.066070  -0.600000  1.220000  0.450000
1.564000  -0.002327  0.003959  -0.000757  -0.135590  0.264930  -0.057970  -0.600000  1.220000  0.450000
1.566000  -0.002328  0.003961  -0.000756  -0.136790  0.267370  -0.057070  -0.600000  1.220000  0.450000
1.566000  -0.002328  0.003961  -0.000756  -0.136790  0.267370  -0.057070  -0.600000  1.220000  0.450000
1.584000  -0.002425  0.004159  -0.000683  -0.147590  0.289330  -0.048970  -0.600000  1.220000  0.450000
1.585000  -0.002426  0.004159  -0.000683  -0.148150  0.289520  -0.047670  -0.560000  0.190000  1.300000
1.627000  -0.002188  0.003021  0.000385  -0.136810  0.235340  0.003150  0.270000  -1.290000  1.210000
1.628000  -0.002187  0.003021  0.000385  -0.136540  0.234050  0.004360  0.270000  -1.290000  1.210000
1.629000  -0.002187  0.003020  0.000386  -0.136270  0.232760  0.005570  0.270000  -1.290000  1.210000
1.630000  -0.002187  0.003019  0.000387  -0.136000  0.231470  0.006780  0.270000  -1.290000  1.210000
1.630000  -0.002187  0.003019  0.000387  -0.136000  0.231470  0.006780  0.270000  -1.290000  1.210000
1.662000  -0.002049  0.002359  0.001006  -0.127360  0.190190  0.045500  0.270000  -1.290000  1.210000
1.664000  -0.002048  0.002357  0.001008  -0.126720  0.188310  0.047640  0.320000  -0.940000  1.070000
1.682000  -0.001996  0.002205  0.001182  -0.120960  0.171390  0.066900  0.320000  -0.940000  1.070000
1.683000  -0.001996  0.002204  0.001182  -0.120640  0.170450  0.067970  0.320000  -0.940000  1.070000
1.684000  -0.001996  0.002204  0.001183  -0.120320  0.169510  0.069040  0.320000  -0.940000  1.070000
1.702000  -0.001944  0.002052  0.001356  -0.114560  0.152590  0.088300  0.320000  -0.940000  1.070000
1.703000  -0.001944  0.002051  0.001357  -0.114070  0.150900  0.089680  0.490000  -1.690000  1.380000
1.742000  -0.001571  0.000766  0.002406  -0.094960  0.084990  0.143500  0.490000  -1.690000  1.380000
1.743000  -0.001571  0.000765  0.002407  -0.094470  0.083300  0.144880  0.490000  -1.690000  1.380000
1.744000  -0.001571  0.000764  0.002407  -0.093980  0.081610  0.146260  0.490000  -1.690000  1.380000
1.745000  -0.001571  0.000763  0.002408  -0.093490  0.079920  0.147640  0.490000  -1.690000  1.380000
1.745000  -0.001571  0.000763  0.002408  -0.093490  0.079920  0.147640  0.910000  -1.450000  1.250000
1.780000  -0.001013  -0.000125  0.003174  -0.061640  0.029170  0.191390  0.910000  -1.450000  1.250000
1.782000  -0.001011  -0.000127  0.003176  -0.059160  0.027210  0.193790  1.240000  -0.980000  1.200000
1.801000  -0.000787  -0.000304  0.003393  -0.035600  0.008590  0.216590  1.240000  -0.980000  1.200000
1.803000  -0.000784  -0.000306  0.003395  -0.033120  0.006630  0.218990  1.240000  -0.980000  1.200000
1.804000  -0.000784  -0.000306  0.003396  -0.031880  0.005650  0.220190  1.240000  -0.980000  1.200000
1.820000  -0.000625  -0.000432  0.003549  -0.012040  -0.010030  0.239390  1.240000  -0.980000  1.200000
1.821000  -0.000625  -0.000432  0.003550  -0.011770  -0.009400  0.239700  0.270000  0.630000  0.310000
1.858000  -0.000440  -0.000000  0.003762  -0.001780  0.013910  0.251170  0.270000  0.630000  0.310000
1.859000  -0.000440  -0.000000  0.003762  -0.001510  0.014540  0.251480  0.270000  0.630000  0.310000
1.860000  -0.000440  0.000000  0.003762  -0.001240  0.015170  0.251790  0.270000  0.630000  0.310000
1.860000  -0.000440  0.000000  0.003762  -0.001240  0.015170  0.251790  0.270000  0.630000  0.310000
1.861000  -0.000440  0.000001  0.003761  -0.000840  0.015920  0.250340  0.400000  0.750000  -1.450000
1.899000  -0.000129  0.000636  0.002664  0.015500  0.049360  0.192580  0.430000  0.880000  -1.520000
1.899000  -0.000129  0.000636  0.002664  0.015500  0.049360  0.192580  0.430000  0.880000  -1.520000
1.919000  -0.000043  0.000812  0.002360  0.024100  0.066960  0.162180  0.430000  0.880000  -1.520000
1.920000  -0.000043  0.000812  0.002359  0.024530  0.067840  0.160660  0.430000  0.880000  -1.520000
1.921000  -0.000043  0.000813  0.002358  0.024960  0.068720  0.159140  0.430000  0.880000  -1.520000
1.945000  0.000081  0.001066  0.001921  0.035280  0.089840  0.122660  0.430000  0.880000  -1.520000
1.946000  0.000081  0.001067  0.001920  0.035300  0.090900  0.120790  0.020000  1.060000  -1.870000
1.977000  0.000187  0.000553  0.001598  0.042120  0.057730  0.100020  0.220000  -1.070000  -0.670000
1.979000  0.000187  0.000551  0.001596  0.042560  0.055590  0.098680  0.220000  -1.070000  -0.670000
1.979000  0.000187  0.000551  0.001596  0.042560  0.055590  0.098680  0.220000  -1.070000  -0.670000
1.980000  0.000187  0.000550  0.001596  0.042780  0.054520  0.098010  0.220000  -1.070000  -0.670000
1.980000  0.000187  0.000550  0.001596  0.042780  0.054520  0.098010  0.220000  -1.070000  -0.670000
2.016000  0.000446  -0.000078  0.001214  0.057180  0.019600  0.076770  0.400000  -0.970000  -0.590000
2.017000  0.000447  -0.000079  0.001213  0.057580  0.018630  0.076180  0.400000  -0.970000  -0.590000
2.036000  0.000519  -0.000254  0.001107  0.065180  0.000200  0.064970  0.400000  -0.970000  -0.590000
2.037000  0.000519  -0.000255  0.001107  0.065580  -0.000770  0.064380  0.400000  -0.970000  -0.590000
2.037000  0.000519  -0.000255  0.001107  0.065580  -0.000770  0.064380  0.400000  -0.970000  -0.590000
2.057000  0.000599  -0.000449  0.000989  0.073580  -0.020170  0.052580  0.400000  -0.970000  -0.590000
2.058000  0.000599  -0.000449  0.000989  0.073820  -0.020880  0.053900  0.240000  -0.710000  1.320000
2.097000  0.000782  -0.000989  0.001993  0.083180  -0.048570  0.105380  0.240000  -0.710000  1.320000
2.098000  0.000782  -0.000989  0.001994  0.083330  -0.049310  0.106440  0.150000  -0.740000  1.060000
2.099000  0.000782  -0.000990  0.001994  0.083480  -0.050050  0.107500  0.150000  -0.740000  1.060000
2.100000  0.000782  -0.000990  0.001995  0.083630  -0.050790  0.108560  0.150000  -0.740000  1.060000
2.100000  0.000782  -0.000990  0.001995  0.083630  -0.050790  0.108560  0.150000  -0.740000  1.060000
2.135000  0.001021  -0.001578  0.002822  0.097280  -0.084390  0.155810  0.390000  -0.960000  1.350000
2.137000  0.001022  -0.001580  0.002824  0.098060  -0.086310  0.158510  0.390000  -0.960000  1.350000
2.156000  0.001092  -0.001753  0.003068  0.105470  -0.104550  0.184160  0.390000  -0.960000  1.350000
2.157000  0.001092  -0.001754  0.003069  0.105860  -0.105510  0.185510  0.390000  -0.960000  1.350000
2.157000  0.001092  -0.001754  0.003069  0.105860  -0.105510  0.185510  0.390000  -0.960000  1.350000
2.176000  0.001148  -0.002006  0.003348  0.111750  -0.132110  0.214960  0.310000  -1.400000  1.550000
2.178000  0.001149  -0.002009  0.003352  0.112370  -0.134910  0.218060  0.310000  -1.400000  1.550000
2.214000  0.001032  -0.002787  0.004013  0.105890  -0.178110  0.254780  -0.180000  -1.200000  1.020000
2.216000  0.001032  -0.002789  0.004015  0.105530  -0.180510  0.256820  -0.180000  -1.200000  1.020000
2.216000  0.001032  -0.002789  0.004015  0.105530  -0.180510  0.256820  -0.180000  -1.200000  1.020000
2.216000  0.001032  -0.002789  0.004015  0.105530  -0.180510  0.256820  -0.180000  -1.200000  1.020000
2.217000  0.001032  -0.002790  0.004015  0.105350  -0.181710  0.257840  -0.180000  -1.200000  1.020000
2.255000  0.001082  -0.003829  0.004925  0.108010  -0.236430  0.305720  0.070000  -1.440000  1.260000
2.256000  0.001082  -0.003830  0.004925  0.108080  -0.237870  0.306980  0.070000  -1.440000  1.260000
2.274000  0.001094  -0.004063  0.005130  0.109340  -0.263790  0.329660  0.070000  -1.440000  1.260000
2.276000  0.001094  -0.004066  0.005132  0.109480  -0.266670  0.332180  0.070000  -1.440000  1.260000
2.277000  0.001094  -0.004067  0.005133  0.109550  -0.268110  0.333440  0.070000  -1.440000  1.260000
2.294000  0.001049  -0.004063  0.005240  0.104280  -0.267600  0.346020  -0.310000  0.030000  0.740000
2.295000  0.001049  -0.004063  0.005240  0.103970  -0.267570  0.346760  -0.310000  0.030000  0.740000
2.333000  0.001395  -0.002626  0.003854  0.122210  -0.191950  0.273800  0.480000  1.990000  -1.920000
2.334000  0.001396  -0.002625  0.003853  0.122690  -0.189960  0.271880  0.480000  1.990000  -1.920000
2.335000  0.001396  -0.002624  0.003852  0.123170  -0.187970  0.269960  0.480000  1.990000  -1.920000
2.335000  0.001396  -0.002624  0.003852  0.123170  -0.187970  0.269960  0.480000  1.990000  -1.920000
2.335000  0.001396  -0.002624  0.003852  0.123170  -0.187970  0.269960  0.480000  1.990000  -1.920000
2.373000  0.001742  -0.001187  0.002466  0.141410  -0.112350  0.197000  0.480000  1.990000  -1.920000
2.375000  0.001743  -0.001184  0.002462  0.141630  -0.109510  0.193440  0.110000  1.420000  -1.780000
2.393000  0.001760  -0.000954  0.002174  0.143610  -0.083950  0.161400  0.110000  1.420000  -1.780000
2.394000  0.001761  -0.000954  0.002173  0.143720  -0.082530  0.159620  0.110000  1.420000  -1.780000
2.396000  0.001761  -0.000951  0.002169  0.143940  -0.079690  0.156060  0.110000  1.420000  -1.780000
