#time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
1.344,-0.04,0.66,0.80,-0.10,0.08,-0.03,-0.23,0.42,0.46,0.00
1.345,-0.04,0.66,0.80,-0.16,-0.19,-0.28,-0.23,0.42,0.46,0.00
1.382,-0.04,0.66,0.80,-0.16,-0.19,-0.28,-0.05,0.30,0.37,0.00
1.383,-0.05,0.66,0.81,-0.16,-0.19,-0.28,-0.05,0.30,0.37,0.00
1.383,-0.05,0.66,0.80,-0.16,-0.19,-0.28,-0.05,0.30,0.37,0.00
1.383,-0.06,0.64,0.80,-0.16,-0.19,-0.28,-0.05,0.30,0.37,0.00
1.383,-0.06,0.64,0.80,0.32,0.16,0.28,-0.05,0.30,0.37,0.00
1.422,-0.06,0.64,0.80,0.32,0.16,0.28,0.10,0.28,0.39,0.00
1.423,-0.06,0.64,0.80,0.30,0.12,0.31,0.10,0.28,0.39,0.00
1.442,-0.07,0.61,0.82,0.30,0.12,0.31,0.10,0.28,0.39,0.00
1.442,-0.07,0.61,0.80,0.30,0.12,0.31,0.10,0.28,0.39,0.00
1.443,-0.08,0.63,0.76,0.30,0.12,0.31,0.10,0.28,0.39,0.00
1.461,-0.08,0.63,0.76,0.20,-0.07,0.44,0.10,0.28,0.39,0.00
1.462,-0.08,0.63,0.76,0.20,-0.07,0.44,0.04,0.67,0.49,0.00
1.503,-0.08,0.63,0.76,0.14,-0.25,-0.01,0.04,0.67,0.49,0.00
1.504,-0.08,0.63,0.76,0.14,-0.25,-0.01,0.05,0.49,0.48,0.00
1.504,-0.05,0.63,0.72,0.14,-0.25,-0.01,0.05,0.49,0.48,0.00
1.504,-0.07,0.62,0.72,0.14,-0.25,-0.01,0.05,0.49,0.48,0.00
1.505,-0.07,0.63,0.73,0.14,-0.25,-0.01,0.05,0.49,0.48,0.00
1.54,-0.07,0.63,0.73,0.09,-0.25,-0.01,0.05,0.49,0.48,0.00
1.541,-0.07,0.63,0.73,0.09,-0.25,-0.01,-0.04,0.31,0.56,0.00
1.56,-0.05,0.66,0.76,0.09,-0.25,-0.01,-0.04,0.31,0.56,0.00
1.561,-0.01,0.69,0.75,0.09,-0.25,-0.01,-0.04,0.31,0.56,0.00
1.562,0.01,0.70,0.73,0.09,-0.25,-0.01,-0.04,0.31,0.56,0.00
1.581,0.01,0.70,0.73,0.09,-0.25,-0.01,-0.16,0.42,0.51,0.00
1.582,0.01,0.70,0.73,0.12,-0.08,-0.27,-0.16,0.42,0.51,0.00
1.621,0.01,0.70,0.73,0.59,0.47,-0.32,-0.16,0.42,0.51,0.00
1.622,0.01,0.70,0.73,0.59,0.47,-0.32,-0.21,0.18,0.31,0.00
1.623,-0.03,0.68,0.72,0.59,0.47,-0.32,-0.21,0.18,0.31,0.00
1.624,-0.06,0.65,0.73,0.59,0.47,-0.32,-0.21,0.18,0.31,0.00
1.624,-0.03,0.63,0.82,0.59,0.47,-0.32,-0.21,0.18,0.31,0.00
1.66,-0.03,0.63,0.82,0.59,0.47,-0.32,-0.08,-0.00,0.29,0.00
1.661,-0.03,0.63,0.82,0.51,0.48,-0.33,-0.08,-0.00,0.29,0.00
1.681,-0.01,0.64,0.91,0.51,0.48,-0.33,-0.08,-0.00,0.29,0.00
1.682,-0.03,0.64,0.84,0.51,0.48,-0.33,-0.08,-0.00,0.29,0.00
1.683,-0.10,0.63,0.80,0.51,0.48,-0.33,-0.08,-0.00,0.29,0.00
1.699,-0.10,0.63,0.80,0.20,-0.10,0.56,-0.08,-0.00,0.29,0.00
1.701,-0.10,0.63,0.80,0.20,-0.10,0.56,0.36,-0.06,0.18,0.00
1.741,-0.10,0.63,0.80,-0.40,-0.19,0.06,0.36,-0.06,0.18,0.00
1.742,-0.10,0.63,0.80,-0.40,-0.19,0.06,0.05,0.10,0.24,0.00
1.743,-0.15,0.63,0.66,-0.40,-0.19,0.06,0.05,0.10,0.24,0.00
1.744,0.08,0.67,0.63,-0.40,-0.19,0.06,0.05,0.10,0.24,0.00
1.745,0.15,0.79,0.78,-0.40,-0.19,0.06,0.05,0.10,0.24,0.00
1.778,0.15,0.79,0.78,-0.40,-0.19,0.06,-0.35,0.25,-0.08,0.00
1.779,0.15,0.79,0.78,-0.30,-0.09,-0.02,-0.35,0.25,-0.08,0.00
1.798,-0.13,0.69,0.78,-0.30,-0.09,-0.02,-0.35,0.25,-0.08,0.00
1.799,-0.15,0.64,0.78,-0.30,-0.09,-0.02,-0.35,0.25,-0.08,0.00
