time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
2.277,0.09,0.63,0.96,0.97,0.58,0.74,-0.12,0.70,0.87,0.00
2.314,0.09,0.63,0.96,0.97,0.58,0.74,0.00,1.12,1.04,0.00
2.316,0.11,0.64,0.91,0.97,0.58,0.74,0.00,1.12,1.04,0.00
2.316,0.18,0.66,0.81,0.97,0.58,0.74,0.00,1.12,1.04,0.00
2.317,0.19,0.65,0.71,0.97,0.58,0.74,0.00,1.12,1.04,0.00
2.318,0.19,0.65,0.71,1.92,0.85,-0.09,0.00,1.12,1.04,0.00
2.354,0.19,0.65,0.71,1.92,0.85,-0.09,0.01,0.52,0.88,0.00
2.356,0.19,0.65,0.71,1.86,0.82,-0.08,0.01,0.52,0.88,0.00
2.374,0.16,0.60,0.73,1.86,0.82,-0.08,0.01,0.52,0.88,0.00
2.376,0.16,0.55,0.76,1.86,0.82,-0.08,0.01,0.52,0.88,0.00
2.376,0.15,0.51,0.80,1.86,0.82,-0.08,0.01,0.52,0.88,0.00
2.394,0.15,0.51,0.80,1.62,-0.07,-0.57,0.01,0.52,0.88,0.00
2.395,0.15,0.51,0.80,1.62,-0.07,-0.57,-0.18,0.02,0.72,0.00
2.433,0.15,0.51,0.80,1.62,-0.07,-0.57,0.01,0.23,0.17,0.00
2.435,0.44,0.46,0.95,1.62,-0.07,-0.57,0.01,0.23,0.17,0.00
2.436,0.40,0.63,0.97,1.62,-0.07,-0.57,0.01,0.23,0.17,0.00
2.437,-0.07,0.65,0.64,1.62,-0.07,-0.57,0.01,0.23,0.17,0.00
2.438,-0.07,0.65,0.64,2.59,0.24,0.28,0.01,0.23,0.17,0.00
2.477,-0.07,0.65,0.64,2.59,0.24,0.28,0.27,-0.01,-0.20,0.00
2.478,-0.07,0.65,0.64,2.57,0.15,0.33,0.27,-0.01,-0.20,0.00
2.498,-0.03,0.40,0.70,2.57,0.15,0.33,0.27,-0.01,-0.20,0.00
2.5,-0.05,0.50,0.87,2.57,0.15,0.33,0.27,-0.01,-0.20,0.00
2.5,-0.00,0.59,0.91,2.57,0.15,0.33,0.27,-0.01,-0.20,0.00
2.511,-0.00,0.59,0.91,2.57,0.15,0.33,-0.25,0.03,0.11,0.00
2.512,-0.00,0.59,0.91,-0.21,-0.60,0.06,-0.25,0.03,0.11,0.00
2.552,-0.00,0.59,0.91,-0.21,-0.60,0.06,-0.59,0.52,0.23,0.00
2.553,0.08,0.54,0.91,-0.21,-0.60,0.06,-0.59,0.52,0.23,0.00
2.554,0.08,0.45,0.92,-0.21,-0.60,0.06,-0.59,0.52,0.23,0.00
2.555,-0.06,0.53,0.87,-0.21,-0.60,0.06,-0.59,0.52,0.23,0.00
2.556,-0.06,0.53,0.87,0.48,-0.34,0.63,-0.59,0.52,0.23,0.00
2.591,-0.06,0.53,0.87,0.48,-0.34,0.63,-0.43,0.71,0.20,0.00
2.592,-0.06,0.53,0.87,0.65,-0.20,0.54,-0.43,0.71,0.20,0.00
2.611,-0.06,0.73,0.78,0.65,-0.20,0.54,-0.43,0.71,0.20,0.00
2.612,-0.19,0.78,0.77,0.65,-0.20,0.54,-0.43,0.71,0.20,0.00
2.613,-0.24,0.75,0.81,0.65,-0.20,0.54,-0.43,0.71,0.20,0.00
2.629,-0.24,0.75,0.81,0.65,-0.20,0.54,0.31,1.23,0.20,0.00
2.63,-0.24,0.75,0.81,-0.90,2.08,-0.50,0.31,1.23,0.20,0.00
2.67,-0.24,0.75,0.81,-0.65,-0.78,0.05,0.31,1.23,0.20,0.00
2.671,-0.24,0.75,0.81,-0.65,-0.78,0.05,1.28,1.28,0.14,0.00
2.672,-0.15,0.60,0.85,-0.65,-0.78,0.05,1.28,1.28,0.14,0.00
2.673,-0.21,0.49,0.79,-0.65,-0.78,0.05,1.28,1.28,0.14,0.00
2.674,-0.16,0.41,0.78,-0.65,-0.78,0.05,1.28,1.28,0.14,0.00
2.71,-0.16,0.41,0.78,-0.44,-0.95,0.21,1.28,1.28,0.14,0.00
2.711,-0.16,0.41,0.78,-0.44,-0.95,0.21,0.46,1.25,0.79,0.00
2.729,-0.19,0.41,0.80,-0.44,-0.95,0.21,0.46,1.25,0.79,0.00
2.73,-0.20,0.60,0.89,-0.44,-0.95,0.21,0.46,1.25,0.79,0.00
2.731,-0.18,0.53,0.87,-0.44,-0.95,0.21,0.46,1.25,0.79,0.00
2.751,-0.18,0.53,0.87,-0.44,-0.95,0.21,-0.41,0.29,0.27,0.00
2.753,-0.18,0.53,0.87,-0.52,-0.70,0.55,-0.41,0.29,0.27,0.00
